Wall Distance (cm),Setpoint (cm),Time (ms)
28,18,31.3
24,18,62.6
24,18,93.9
24,18,125.2
24,18,156.5
24,18,187.8
24,18,219.10000000000002
23,18,250.40000000000003
22,18,281.70000000000005
22,18,313.00000000000006
22,18,344.30000000000007
21,18,375.6000000000001
21,18,406.9000000000001
20,18,438.2000000000001
19,18,469.5000000000001
19,18,500.8000000000001
19,18,532.1000000000001
19,18,563.4000000000001
18,18,594.7
18,18,626.0
17,18,657.3
17,18,688.5999999999999
17,18,719.8999999999999
16,18,751.1999999999998
16,18,782.4999999999998
16,18,813.7999999999997
16,18,845.0999999999997
16,18,876.3999999999996
16,18,907.6999999999996
16,18,938.9999999999995
16,18,970.2999999999995
16,18,1001.5999999999995
16,18,1032.8999999999994
16,18,1064.1999999999994
16,18,1095.4999999999993
16,18,1126.7999999999993
16,18,1158.0999999999992
16,18,1189.3999999999992
17,18,1220.6999999999991
17,18,1251.999999999999
17,18,1283.299999999999
17,18,1314.599999999999
17,18,1345.899999999999
18,18,1377.199999999999
18,18,1408.4999999999989
18,18,1439.7999999999988
18,18,1471.0999999999988
19,18,1502.3999999999987
19,18,1533.6999999999987
19,18,1564.9999999999986
19,18,1596.2999999999986
19,18,1627.5999999999985
19,18,1658.8999999999985
19,18,1690.1999999999985
19,18,1721.4999999999984
19,18,1752.7999999999984
19,18,1784.0999999999983
19,18,1815.3999999999983
19,18,1846.6999999999982
19,18,1877.9999999999982
19,18,1909.2999999999981
19,18,1940.599999999998
19,18,1971.899999999998
19,18,2003.199999999998
19,18,2034.499999999998
19,18,2065.799999999998
19,18,2097.099999999998
19,18,2128.3999999999983
19,18,2159.6999999999985
19,18,2190.9999999999986
19,18,2222.299999999999
19,18,2253.599999999999
19,18,2284.899999999999
19,18,2316.1999999999994
19,18,2347.4999999999995
19,18,2378.7999999999997
19,18,2410.1
19,18,2441.4
19,18,2472.7000000000003
19,18,2504.0000000000005
19,18,2535.3000000000006
19,18,2566.600000000001
19,18,2597.900000000001
19,18,2629.200000000001
19,18,2660.5000000000014
19,18,2691.8000000000015
19,18,2723.1000000000017
19,18,2754.400000000002
19,18,2785.700000000002
19,18,2817.0000000000023
19,18,2848.3000000000025
19,18,2879.6000000000026
19,18,2910.900000000003
19,18,2942.200000000003
19,18,2973.500000000003
19,18,3004.8000000000034
19,18,3036.1000000000035
19,18,3067.4000000000037
19,18,3098.700000000004
19,18,3130.000000000004
19,18,3161.3000000000043
19,18,3192.6000000000045
19,18,3223.9000000000046
19,18,3255.200000000005
19,18,3286.500000000005
19,18,3317.800000000005
19,18,3349.1000000000054
19,18,3380.4000000000055
19,18,3411.7000000000057
19,18,3443.000000000006
19,18,3474.300000000006
19,18,3505.6000000000063
19,18,3536.9000000000065
19,18,3568.2000000000066
19,18,3599.500000000007
19,18,3630.800000000007
19,18,3662.100000000007
19,18,3693.4000000000074
19,18,3724.7000000000075
19,18,3756.0000000000077
19,18,3787.300000000008
19,18,3818.600000000008
19,18,3849.9000000000083
19,18,3881.2000000000085
19,18,3912.5000000000086
19,18,3943.800000000009
19,18,3975.100000000009
19,18,4006.400000000009
19,18,4037.7000000000094
19,18,4069.0000000000095
19,18,4100.300000000009
19,18,4131.6000000000095
19,18,4162.90000000001
19,18,4194.20000000001
19,18,4225.50000000001
19,18,4256.80000000001
19,18,4288.10000000001
19,18,4319.400000000011
19,18,4350.700000000011
19,18,4382.000000000011
19,18,4413.300000000011
19,18,4444.600000000011
19,18,4475.9000000000115
19,18,4507.200000000012
19,18,4538.500000000012
19,18,4569.800000000012
19,18,4601.100000000012
19,18,4632.400000000012
19,18,4663.700000000013
19,18,4695.000000000013
19,18,4726.300000000013
19,18,4757.600000000013
19,18,4788.900000000013
19,18,4820.2000000000135
19,18,4851.500000000014
19,18,4882.800000000014
19,18,4914.100000000014
19,18,4945.400000000014
19,18,4976.700000000014
19,18,5008.000000000015
19,18,5039.300000000015
19,18,5070.600000000015
19,18,5101.900000000015
19,18,5133.200000000015
19,18,5164.5000000000155
19,18,5195.800000000016
19,18,5227.100000000016
19,18,5258.400000000016
19,18,5289.700000000016
19,18,5321.000000000016
19,18,5352.300000000017
19,18,5383.600000000017
19,18,5414.900000000017
19,18,5446.200000000017
19,18,5477.500000000017
19,18,5508.8000000000175
19,18,5540.100000000018
19,18,5571.400000000018
19,18,5602.700000000018
19,18,5634.000000000018
19,18,5665.300000000018
19,18,5696.600000000019
19,18,5727.900000000019
19,18,5759.200000000019
19,18,5790.500000000019
19,18,5821.800000000019
19,18,5853.1000000000195
18,18,5884.40000000002
18,18,5915.70000000002
18,18,5947.00000000002
18,18,5978.30000000002
18,18,6009.60000000002
18,18,6040.900000000021
18,18,6072.200000000021
18,18,6103.500000000021
18,18,6134.800000000021
18,18,6166.100000000021
18,18,6197.4000000000215
18,18,6228.700000000022
18,18,6260.000000000022
19,18,6291.300000000022
19,18,6322.600000000022
19,18,6353.900000000022
19,18,6385.200000000023
19,18,6416.500000000023
19,18,6447.800000000023
19,18,6479.100000000023
19,18,6510.400000000023
19,18,6541.7000000000235
19,18,6573.000000000024
19,18,6604.300000000024
19,18,6635.600000000024
19,18,6666.900000000024
19,18,6698.200000000024
19,18,6729.500000000025
19,18,6760.800000000025
19,18,6792.100000000025
19,18,6823.400000000025
19,18,6854.700000000025
19,18,6886.0000000000255
19,18,6917.300000000026
19,18,6948.600000000026
19,18,6979.900000000026
19,18,7011.200000000026
19,18,7042.500000000026
19,18,7073.800000000027
19,18,7105.100000000027
19,18,7136.400000000027
19,18,7167.700000000027
19,18,7199.000000000027
19,18,7230.3000000000275
19,18,7261.600000000028
19,18,7292.900000000028
19,18,7324.200000000028
19,18,7355.500000000028
19,18,7386.800000000028
19,18,7418.100000000029
19,18,7449.400000000029
19,18,7480.700000000029
19,18,7512.000000000029
19,18,7543.300000000029
18,18,7574.6000000000295
17,18,7605.90000000003
17,18,7637.20000000003
